nome,telefone,endereco,site,nicho,area,data_extração
Transport Transligue - Joinville branch / SC,554730862800,"Cond. Perini Business Park| - R. Dona Francisca, 8300 - Bloco G, Módulo 05 - Distrito Industrial, Joinville - SC, 89219-600, Brazil",http://www.transligue.com.br/,transportadora,Joinville,2025-05-21 10:31:07
Transportes e Serviços Super Já,554734662042,"R. Augusto Schlegel, 83 - Atiradores, Joinville - SC, 89203-260, Brazil",,transportadora,Joinville,2025-05-21 10:31:08
Coopercargo - Soluções Logísticas,554721051800,"Av. Mississípi, 371 - Zona Industrial Norte, Joinville - SC, 89219-507, Brazil",http://www.coopercargo.com.br/,transportadora,Joinville,2025-05-21 10:31:08
Alfa Transportes - Joinville,554734387360,"R. Hans Dieter Schmidt, 979 - Zona Industrial Norte, Joinville - SC, 89219-500, Brazil",https://www.alfatransportes.com.br/,transportadora,Joinville,2025-05-21 10:31:09
Transville Transportes e Serviços - Joinville,554734618888,"R. Guilherme, 1392 - Costa e Silva, Joinville - SC, 89218-500, Brazil",http://www.transville.com.br/,transportadora,Joinville,2025-05-21 10:31:09
Transoliveira Transportadora,554734736847,"R. dos Portugueses, 1588 - Vila Nova, Joinville - SC, 89237-780, Brazil",,transportadora,Joinville,2025-05-21 10:31:10
Transport company Atlas & Expresso Jundiaí,554721051400,"Av. Plácido Hugo de Oliveira, 2398 - Profipo, Joinville - SC, 89233, Brazil",,transportadora,Joinville,2025-05-21 10:31:10
Aceville Transportes,554731307350,"R. Miguel Ângelo, 113 - São Marcos, Joinville - SC, 89237-007, Brazil",http://www.aceville.com.br/,transportadora,Joinville,2025-05-21 10:31:11
Godi Transportes,5547997230205,"R. Adriano Schondermank, 673 - Costa e Silva, Joinville - SC, 89217-400, Brazil",http://goditransportes.com.br/,transportadora,Joinville,2025-05-21 10:31:11
Transportadora Minuano,554734635110,"R. Leopoldo Koentopp, 150 - São Marcos, Joinville - SC, 89214-180, Brazil",http://www.transminuano.com.br/,transportadora,Joinville,2025-05-21 10:31:11
